time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2007-05-04,14.2,9.8,21.0,72,10.4,,21.4,,1010.3,,
2007-05-05,12.6,10.1,16.4,77,0.0,,23.3,,1014.5,,6
2007-05-06,13.1,6.6,19.8,71,0.0,,14.5,,1020.3,,4
2007-05-07,15.4,12.6,19.7,79,1.6,,21.7,,1018.2,,7
2007-05-08,16.3,12.0,20.6,77,1.2,,22.3,,1017.2,,
2007-05-09,16.4,14.7,19.0,76,0.0,,24.5,,1018.6,,7
2007-05-10,17.0,12.0,23.8,68,0.0,,20.3,,1012.9,,7
2007-05-11,14.8,12.2,17.9,64,1.2,,27.2,,1009.4,,
2007-05-12,15.9,12.2,20.6,69,0.0,,22.2,,1010.8,,
2007-05-13,15.6,10.4,23.9,70,1.4,,18.2,,1005.5,,
2007-05-14,13.6,12.0,18.2,71,3.6,,24.7,,1008.0,,6
2007-05-15,12.1,7.5,17.5,76,2.8,,18.5,,1018.1,,
2007-05-16,13.4,11.2,18.2,80,2.4,,18.7,,1014.5,,7
2007-05-17,15.2,11.4,17.9,89,0.4,,17.9,,1013.9,,8
2007-05-18,18.8,14.6,25.2,82,3.6,,10.5,,1017.2,,
2007-05-19,16.7,13.8,20.8,73,4.0,,9.0,,1014.7,,7
2007-05-20,13.0,9.8,15.1,80,9.0,,16.2,,1013.7,,8
2007-05-21,17.3,12.5,25.0,81,0.0,,11.5,,1013.9,,6
2007-05-22,17.8,12.0,23.0,79,0.0,,11.5,,1019.6,,
2007-05-23,17.6,13.5,22.8,76,0.0,,14.5,,1020.9,,
2007-05-24,20.5,13.6,27.5,66,0.0,,11.2,,1014.9,,3
2007-05-25,20.0,15.1,28.7,73,6.2,,8.9,,1007.9,,4
2007-05-26,16.8,12.7,21.1,84,2.0,,12.7,,1003.6,,7
2007-05-27,11.3,8.7,14.5,83,9.0,,18.2,,999.4,,6
2007-05-28,10.7,8.8,15.8,86,7.2,,16.4,,998.4,,7
2007-05-29,11.8,6.3,17.3,65,0.0,,17.4,,1011.3,,
2007-05-30,12.7,7.0,16.8,86,1.4,,14.5,,1010.9,,6
2007-05-31,13.2,8.8,19.8,82,5.4,,10.1,,1011.1,,
2007-06-01,13.9,7.4,19.1,77,0.0,,13.3,,1016.4,,5
2007-06-02,17.8,11.7,24.4,70,0.0,,14.5,,1023.0,,
2007-06-03,19.7,13.8,25.0,68,0.0,,11.8,,1021.3,,3
2007-06-04,19.7,16.6,24.3,73,0.0,,16.3,,1019.7,,7
2007-06-05,19.9,14.5,24.6,71,0.0,,19.1,,1017.8,,
2007-06-06,20.4,14.9,26.1,70,0.0,,21.2,,1015.0,,
2007-06-07,18.7,15.1,22.7,81,0.4,,18.3,,1014.8,,8
2007-06-08,19.7,17.1,23.4,82,0.4,,10.6,,1016.5,,7
2007-06-09,19.9,16.6,24.3,75,0.0,,10.9,,1017.6,,
2007-06-10,19.7,14.4,25.6,76,0.2,,11.0,,1015.2,,
2007-06-11,20.2,15.2,25.4,77,0.0,,8.0,,1014.1,,6
2007-06-12,18.9,15.4,23.5,78,0.0,,11.5,,1013.6,,
2007-06-13,19.3,13.1,26.6,76,1.8,,6.1,,1009.3,,5
2007-06-14,19.1,15.1,23.4,84,31.6,,10.1,,1003.7,,6
2007-06-15,17.4,14.7,21.9,81,3.2,,20.1,,1004.6,,
2007-06-16,16.7,14.0,22.0,72,0.8,,22.4,,1007.7,,6
2007-06-17,16.3,10.5,22.4,80,5.4,,10.2,,1007.1,,4
2007-06-18,20.4,14.0,26.3,72,0.0,,13.5,,1009.8,,6
2007-06-19,22.1,15.9,32.0,69,11.4,,12.1,,1009.8,,
2007-06-20,19.7,14.3,24.5,68,3.4,,13.5,,1013.8,,
2007-06-21,18.3,15.1,22.7,67,0.0,,15.5,,1014.1,,
2007-06-22,15.7,14.0,18.7,82,21.4,,16.0,,1010.3,,
2007-06-23,17.3,14.3,22.7,75,0.2,,19.9,,1012.8,,
2007-06-24,17.7,12.8,22.9,71,1.8,,14.3,,1011.5,,
2007-06-25,16.4,13.8,21.1,69,8.4,,25.6,,1004.6,,
2007-06-26,14.1,12.5,17.3,79,0.2,,22.0,,1008.4,,7
2007-06-27,14.4,10.7,19.1,72,0.4,,16.5,,1011.9,,7
2007-06-28,15.9,12.4,19.7,69,0.0,,17.4,,,,7
2007-06-29,16.4,13.5,18.9,74,0.4,,19.0,,1015.5,,7
2007-06-30,18.6,14.8,23.4,77,0.8,,14.0,,1016.1,,7
2007-07-01,18.9,16.2,23.8,76,1.2,,16.9,,1009.4,,
2007-07-02,17.6,14.6,23.1,73,4.0,,21.7,,1008.9,,7
2007-07-03,15.7,13.3,20.2,83,13.6,,16.0,,1005.6,,7
2007-07-04,14.9,11.8,20.3,73,2.2,,22.0,,1010.7,,
2007-07-05,16.1,13.0,20.5,72,1.4,,24.0,,1017.1,,7
2007-07-06,17.5,14.1,22.7,69,0.0,,22.2,,1015.4,,7
2007-07-07,16.9,12.0,22.4,65,0.0,,8.0,,1018.7,,6
2007-07-08,16.1,14.0,20.8,70,2.4,,12.0,,1018.1,,7
2007-07-09,13.3,9.5,18.7,83,9.0,,11.1,,1016.5,,
2007-07-10,13.7,10.8,18.3,85,5.8,,11.6,,1015.2,,6
2007-07-11,16.0,12.3,21.2,75,0.0,,15.7,,1016.9,,6
2007-07-12,17.1,11.7,21.9,79,0.0,,13.5,,1019.1,,6
2007-07-13,22.5,14.8,29.2,69,0.0,,12.7,,1015.9,,3
2007-07-14,23.7,18.6,30.5,63,0.0,,9.4,,1013.9,,3
2007-07-15,24.6,17.2,32.4,60,0.2,,13.5,,1011.1,,3
2007-07-16,20.8,19.4,26.0,72,9.2,,13.7,,1011.8,,6
2007-07-17,19.3,13.5,25.7,70,0.0,,16.7,,1017.6,,
